|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~加入条件|h
|~|~|~|~HP|~攻|~防|~速|~知|~|~|~|~|~|~|~|~|~|~|~|~|h
|ローラン|光|ブレイダー|120|75|50|35|9|人男騎神星|女魔神竜星|両手&br;鎧|S|8|必殺増加[20]&br;カブト割[25]&br;確率追撃[75]&br;扇形攻撃|側面攻撃[10]&br;巨人狩り[25]&br;堅守体躯[40]&br;英雄覇気[8]|連携攻撃[50]&br;加速進化[6]|カブト割[5]|軍事[3]|進撃&br;|最初から|
|英雄ローラン|光|ブレイダー|125|95|75|40|13|人男騎神星|女魔神竜星超|両手&br;鎧|S|13|必殺増加[30]&br;カブト割[40]&br;確率追撃[100]&br;十字攻撃|側面攻撃[20]&br;致命必殺[75]&br;堅守体躯[75]&br;英雄覇気[14]|疾風迅雷[25]&br;加速進化[12]|カブト割[5]|軍事[3]|進撃&br;|兆しと天輪クリア|
|支配者ローラン|闇|ブレイダー|125|105|80|25|10|死男騎神星|女魔神竜星超|両手&br;鎧|S|15|必殺増加[35]&br;次元斬撃[45]&br;多段攻撃[4]&br;全域攻撃|無効喰い[35]&br;心核穿ち[40]&br;神魔体躯[70]&br;死の軍勢[30]|確率追撃[100]&br;狂奔の牙[15]|カブト割[5]|軍事[3]|進撃&br;|6章カオス&br;背教者は巡礼する、クリア|
|リーンフォルテ|光|シューター|115|54|48|54|16|女神騎飛|魔獣樹飛|鞭&br;鎧|S|7|平等治癒[10]&br;聖戦の導[15]&br;イベイド[40]&br;側面攻撃[15]|多段攻撃[2]&br;師団活性[15]&br;堅守体躯[30]&br;確率追撃[100]|扇形攻撃&br;リバイブ[25]|心核穿ち[5]|医療[3]|計略|最初から|
|福音のリーンフォルテ|光|シューター|120|68|52|58|18|女神騎飛星|魔獣樹飛星|鞭&br;鎧|S|11|平等治癒[15]&br;聖戦の導[25]&br;イベイド[60]&br;側面攻撃[25]|多段攻撃[4]&br;英雄覇気[10]&br;堅守体躯[50]&br;確率追撃[125]|集約攻撃&br;リバイブ[75]|心核穿ち[5]|医療[3]|計略|ヴァルキリー卒業試験、クリア|
|魔戦姫リーンフォルテ|闇|シューター|120|74|68|64|14|女神騎飛竜|魔神竜飛星|鞭&br;鎧|S|12|竜の吐息[10]&br;凍傷気流[15]&br;次元障壁[45]&br;次元斬撃[35]|多段攻撃[3]&br;竜王守護[100]&br;神魔体躯[60]&br;確率追撃[125]|十字攻撃&br;疾風迅雷[20]|心核穿ち[5]|医療[3]|計略|心の証、閲覧|
|オルトリーファ|火|ガーダー|120|72|72|15|10|女神騎飛|魔騎器飛|斧槍&br;盾|S|10|反撃倍加[5]&br;聖戦の導[10]&br;防御布陣[20]&br;前進防御|専守防衛&br;至高の盾[30]&br;堅守体躯[50]&br;範囲無効|特攻防御[30]&br;正々堂々|必殺耐性[10]|軍事従事[3]|防備&br;|2章or3章or4章&br;王権のオルトリーファ開始|
|王権のオルトリーファ|火|ガーダー|125|88|88|25|13|女神騎飛|魔騎器飛超|斧槍&br;盾|S|14|反撃倍加[8]&br;聖戦の導[15]&br;防御布陣[40]&br;前進防御|専守防衛&br;至高の盾[45]&br;神魔体躯[70]&br;範囲無効|受け流し[30]&br;正々堂々|必殺耐性[10]|軍事従事[3]|防備&br;|戦乙女の秘めた恋、閲覧|
|魔戦姫オルトリーファ|火|ガーダー|125|96|96|18|7|女神騎飛炎|魔神騎器飛|斧槍&br;盾|S|16|反撃倍加[10]&br;恐怖の瞳[30]&br;防御布陣[25]&br;前進防御|専守防衛&br;次元障壁[60]&br;神魔体躯[70]&br;範囲無効|致命必殺[100]&br;必殺増加[25]|必殺耐性[10]|軍事従事[3]|防備&br;|せめぎあう心と体、閲覧|
|グンヒルド|水|キャスター|110|26|28|36|18|女神海飛|男女炎海|杖&br;法衣|S|7|術式増幅[10]&br;聖戦の導[10]&br;追撃阻止[40]&br;標的後逸|専守防衛&br;四法結界[30]&br;グルメ魂[5]&br;大水流陣[10]|魔術砲弾[10]&br;終の奇跡[15]|バリアー[1]|商業[20]|計略|2章or3章or4章&br;天女の意地、クリア|
|聖印のグンヒルド|水|キャスター|115|40|36|48|23|女神海飛|男女炎海魔|杖&br;法衣|S|11|術式増幅[20]&br;聖戦の導[20]&br;追撃阻止[60]&br;標的後逸|専守防衛&br;四法結界[50]&br;グルメ魂[7]&br;超水流陣[8]|超魔術砲[5]&br;終の奇跡[30]|バリアー[1]|商業[20]|計略|一夜限りの夫婦、閲覧|
|魔戦姫グンヒルド|水|キャスター|115|64|40|52|20|女神海飛獣|男女炎海神|杖&br;法衣|S|12|腐敗の繭[25]&br;凍傷気流[25]&br;虹の毒撃[15]&br;強制異常[40]|次元斬撃[15]&br;四法結界[40]&br;グルメ魂[9]&br;超強酸陣[8]|超強酸砲[5]&br;全域攻撃|バリアー[1]|商業[20]|計略|嫉妬の火種、閲覧|
|プラティエ|風|ヒーラー|110|44|38|50|17|女神騎飛|魔人騎飛|杖&br;法衣|S|6|バリアー[4]&br;聖戦の導[15]&br;絶対治療&br;リバイブ[25]|専守防衛&br;四法結界[30]&br;堅守体躯[15]&br;平等治癒[10]|師団指揮[10]&br;戦術補助[50]|師団指揮[1]|魔術[16]|防備&br;|2章or3章or4章&br;波乱の平原へ開始|
|清風のプラティエ|風|ヒーラー|115|52|42|57|20|女神騎飛|魔人騎飛器|杖&br;法衣|S|10|バリアー[8]&br;聖戦の導[25]&br;絶対治療&br;リバイブ[50]|次元斬撃[25]&br;四法結界[50]&br;堅守体躯[30]&br;平等治癒[15]|師団指揮[15]&br;戦術補助[100]|師団指揮[1]|魔術[16]|防備&br;|最愛の兄妹、閲覧|
|魔戦姫プラティエ|風|ヒーラー|115|69|53|68|15|女神騎飛死夜|魔人騎死神|杖&br;法衣|S|11|恐怖の瞳[35]&br;死の軍勢[40]&br;虹の毒撃[25]&br;多段攻撃[3]|カブト割[40]&br;致命必殺[250]&br;神魔体躯[60]&br;全域攻撃|必殺増加[25]&br;吸血攻撃[15]|師団指揮[1]|魔術[16]|防備&br;|死神と呼ばれて、閲覧|
|オーディン|光|ランサー|120|88|58|48|20|女神飛星雷超|魔竜飛器人|両手&br;法衣|S|12|恐怖の瞳[30]&br;大神術陣[15]&br;師団支配[30]&br;カブト割[40]|多段攻撃[2]&br;四法結界[40]&br;神魔体躯[45]&br;十字攻撃|集約攻撃&br;バリアー[4]|カブト割[5]|なし|乱戦|6章&br;大神の意地、クリア|
|大神オーディン|光|ランサー|125|100|75|64|24|女神飛星雷超|魔竜飛器超|両手&br;法衣|S|16|恐怖の瞳[40]&br;超神術陣[8]&br;師団支配[40]&br;カブト割[50]|多段攻撃[4]&br;四法結界[50]&br;神魔体躯[60]&br;全域攻撃|集約攻撃&br;バリアー[8]|次元斬撃[5]|なし|乱戦|振り返るにはまだ早い、閲覧|
|堕神オーディン|闇|ランサー|125|108|64|58|16|女神飛星夜超|魔竜飛器神|両手&br;法衣|S|18|恐怖の瞳[50]&br;超神術陣[5]&br;師団支配[40]&br;次元斬撃[35]|多段攻撃[3]&br;四法結界[50]&br;神魔体躯[60]&br;致命必殺[100]|軍団攻撃[2]&br;必殺増加[20]|次元斬撃[5]|なし|乱戦|加速する野望、閲覧|
|ギュルヴィ|風|キャスター|110|47|18|36|20|女魔器毒夜|人神器死|杖&br;道具|S|8|結界の歪[20]&br;平等治癒[8]&br;絶対治療&br;師団支配[12]|専守防衛&br;大毒気陣[15]&br;リバイブ[25]&br;四法結界[30]|愚者の嘘[1]&br;器兵支配[15]|決戦領域|魔術[24]|計略|2章or3章or4章&br;ユーダリル内乱、クリア|
