|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|~|~|~|~HP|~攻|~防|~速|~知|~|~|~|~|~|~|~|~|~|~|~|~|h
|BGCOLOR(#FED):||||||||||||||||||||c
|ゴブリン|火|ブレイダー|80|6|6|8|4|男魔獣|樹|片手&br;鎧|S|1|多段攻撃[1]&br;トレハン[5]&br;撃破金運[1]&br;撃破金運[2]&br;|致命必殺[25]&br;奇襲戦法[3]&br;&br;&br;|必殺増加[10]&br;連携攻撃[15]|攻撃布陣[10]|農業[12]|進撃|R1-邪&br;v1.04|
|ハーピー|風|ブレイダー|85|10|7|26|6|女魔獣飛|人男|爪&br;獣装|S|1|必殺増加[20]&br;奇襲戦法[10]&br;奇襲警戒[10]&br;イベイド[30]&br;|側面攻撃[6]&br;魅了攻撃[1]&br;&br;&br;|多段攻撃[1]&br;魅了攻撃[1]|速度布陣[10]|農業[8]|進撃|R1-獣&br;v1.04|
|ゴブリンスミス|火|ブレイダー|85|12|10|6|8|女魔獣器|樹器器|片手&br;道具|S|2|多段攻撃[1]&br;トレハン[7]&br;撃破金運[3]&br;撃破金運[4]&br;|防御削減[8]&br;反撃耐性[20]&br;武具研磨[50]&br;器兵弱体[6]&br;|撃破金運[5]&br;カブト割[20]|削減治療|工業[12]|進撃|R1-邪&br;v1.04|
|ワーキャット|風|ブレイダー|95|20|12|18|5|女魔獣樹|男女|爪&br;装飾|S|3|魅了攻撃[2]&br;夜戦適応&br;樹霊活性[8]&br;多段攻撃[1]&br;|必殺増加[25]&br;反撃耐性[50]&br;速度弱体[6]&br;男性支配[6]&br;|確率追撃[35]&br;挑発行為|反撃耐性[15]|商業[8]|進撃|R1-獣&br;v1.04|
|ラタトスク|土|ブレイダー|95|24|18|32|6|女魔獣樹毒|獣蟲人|片手&br;法衣|S|4|致命必殺[65]&br;側面攻撃[8]&br;確率追撃[50]&br;パリング[50]&br;|必殺増加[25]&br;毒化攻撃[15]&br;解毒治療&br;トレハン[14]&br;|封印攻撃&br;強制異常[15]|毒気放射[15]|商業[12]|進撃|R2-苦&br;v1.04|
|コボルドフェンサー|火|ブレイダー|95|28|20|20|8|女魔獣樹炎|樹獣蟲氷|片手&br;装飾|S|4|側面攻撃[8]&br;多段攻撃[2]&br;イベイド[50]&br;前進防御&br;|必殺耐性[25]&br;パリング[55]&br;樹霊活性[8]&br;必殺増加[25]&br;|致命必殺[40]&br;大火炎陣[5]|側面攻撃[5]|魔術[12]|進撃|R2-信&br;v1.04|
|アルミラージ|光|ブレイダー|100|32|28|26|8|女魔獣樹|獣飛樹器蟲|片手&br;鎧|S|5|貫通攻撃&br;致命必殺[100]&br;師団活性[10]&br;師団指揮[10]&br;|反撃耐性[50]&br;側面攻撃[8]&br;必殺増加[25]&br;グルメ魂[5]&br;|集約攻撃&br;心核穿ち[20]|側面攻撃[5]|農業[16]|進撃|R2-幻&br;Lv3全↑&br;v1.04|
|ガロードバンデッド|土|ブレイダー|105|34|16|18|3|女魔獣樹|人器獣|片手&br;鎧|S|6|挑発行為&br;夜戦適応&br;多段攻撃[1]&br;致命必殺[50]&br;|必殺増加[10]&br;奇襲戦法[8]&br;撃破金運[6]&br;トレハン[18]&br;|トレハン[8]&br;側面攻撃[15]|連携攻撃[5]||進撃|R2-幻&br;v1.04|
