**道具 [#h116e090]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|救急カバン|200|50|0|0|2|2|全体治癒:1|手当に必要なアイテムが詰まった鞄。|
|1|強力解毒剤|200|50|0|3|0|1|解毒治療&br;サボリ癖|数多の毒に対応可能な解毒薬。ただし猛烈に眠くなるのが難点。|
|1|マヒトール草|200|50|0|2|2|0|自己治癒:2&br;麻痺治療|麻痺毒の治療に使われる野生の薬草。|
|1|じゃんけんセット|200|50|1|1|1|1|背水の陣:2|多人数とじゃんけん勝負ができる便利セット。|
|1|火薬粉末|200|50|3|0|0|1|全力攻撃:2&br;自決自爆:2|使いようによっては、色々役に立つ粉末。|
|2|魔界消毒剤|400|100|0|6|0|2|削減治療&br;狂戦士化:3|魔界に伝わる消毒セット。その臭いでとってもハイになる。|
|2|占いオーブ|400|100|0|0|6|2|運命の輪:1&br;星天活性:3|占いをする宝玉。これで勝ち組になれる！|
|2|偵察レンズ|400|100|0|0|8|0|奇襲戦法:4&br;奇襲警戒:4|斥候が持つ遠眼鏡。|
|2|ダウジングロッド|400|100|2|2|2|2|撃破金運:2|水源発掘、油田検知、鉱石発見といろいろ夢のある棒。|
|2|キャンプセット|400|100|0|8|0|0|グルメ魂:2&br;専守防衛|急な野営でも大丈夫。あなたも今日から飯当番！|
|3|矢筒|800|200|4|0|8|0|遠隔攻撃&br;確率追撃:15|矢がたくさん入った筒。|
|3|炸裂弾|800|200|16|-4|0|0|城壁崩し:35&br;自決自爆:15|坑道を爆破したりする炸裂弾。|
|3|徒弟のグリモア|800|200|4|4|0|4|魔術放射:8&br;対術結界:10|魔術師の弟子が持たされる魔道の本。|
|3|魔法のランプ|800|200|4|4|4|0|グルメ魂:3&br;撃破金運:3|こすると願いが叶う魔法のランプ。「さぁ、汝が願いを言え…」|
|3|呪術ドクロ|800|200|6|0|0|6|腐敗の繭:5&br;呪の一撃|呪術師が補助として用いる儀式用ドクロ。|
|4|オリファンの角笛|1600|400|8|4|0|4|師団活性:5&br;奇襲警戒:12|伝令兵の角笛。戦況把握に必要不可欠。|
|4|戦術指導教本|1600|400|6|6|0|4|必殺増加:10&br;奇襲戦法:12|戦術参謀が書いた戦術指南の本。|
|4|バリアリーフ|1600|400|0|16|0|0|バリアー:1&br;堅守体躯:10|すぐ育ち、防壁の如く硬くなる若木の葉。|
|4|デビルマダムの煙管|1600|400|10|0|0|6|カブト割:10&br;戦意高揚:25|魔界のマダム愛用の煙管。派手な柄で所有者がすぐにわかる。|
|4|瓶詰の心臓|1600|400|0|12|4|0|解毒抗体:50&br;必殺耐性:15|錬金術によって、血を浄化する効能を持つ魔導具。|
|5|ビーストリキッド|3200|800|16|12|0|-8|全力攻撃:15&br;狂奔の牙:5|魔獣のような力を得られる薬品。|
|5|フェネの丸秘帳簿|3200|800|14|0|0|6|撃破金運:6&br;トレハン:6|とある従軍財務官が愛用する高機能帳簿。|
|5|ワイトレディ|3200|800|10|10|0|0|夜戦適応&br;リカバリ:15|あるロードリッチの令嬢が戯れに突然精製した希少な不死性適応薬。|
|5|触手印の治癒溶液|3200|800|0|20|0|0|酸化抗体:50&br;受け流し:15|ある生物の粘液から開発された秘薬。開発の裏には数多の尊い犠牲があるとされる。|
