**法衣 [#e3dd799c]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|ボロきれ|200|50|0|1|2|1|速度布陣:2|すごいボロイ服。みかけによらず素早く動けそう。|
|1|見習いローブ|200|50|0|1|1|2|魔術放射:1&br;専守防衛|見習いの術士が身につけるローブ。|
|1|レザーベスト|200|50|1|1|0|2|撃破金運:1|職人が好む作業着。|
|1|原始人のベスト|200|50|3|0|0|1|グルメ魂:1|原始人の皮の上着。お肉が上手に焼けるようになる……かもしれない。|
|1|ひも水着|200|50|0|0|4|0|背水の陣:2&br;先陣の誉|目立ちたがりな貴方にきっと似合う。そんなファッションがこれ！|
|2|ローブ|400|100|0|5|0|3|魔術砲弾:1|魔術師の徒弟が身に着けるローブ。|
|2|盗人の外套|400|100|3|0|5|0|奇襲戦法:3&br;トレハン:2|ドロボウが身に着ける姿隠しの外套。|
|2|料理エプロン|400|100|0|5|0|3|グルメ魂:2|一般調理人の着ている可愛らしいピンクのエプロン。|
|2|みのぼうし|400|100|0|5|3|0|自爆障壁:10&br;氷霊活性:2|東方の雪国に伝わる防寒具。|
|2|テンタクルス浮き輪|400|100|0|2|6|0|パリング:5|クラーケンを模した可愛い浮き輪。|
|3|神官のローブ|800|200|0|4|4|4|全体治癒:2&br;解毒治療|神官が身に着ける清楚なローブ。|
|3|魔術師のローブ|800|200|4|4|0|4|大魔術陣:2&br;対術結界:10|魔術師が身に着けるローブ。|
|3|下忍装束|800|200|4|0|8|0|致命必殺:25&br;奇襲戦法:6|下忍に与えられる装束。|
|3|スケープコート|800|200|0|-8|16|4|リカバリ:10&br;標的後逸|ピンチのときに、スポンと脱げて身代わりの囮になるコート。|
|3|ジェリー・マント|800|200|4|4|4|0|受け流し:10&br;無形体躯:5|軟体生物を素材にして作られた、弾力性の高いマント。|
|4|ノルニルローブ|1600|400|0|8|4|4|全体治癒:3&br;解呪治療|身分の高い信徒が身につけるローブ。|
|4|軍師のケープ|1600|400|10|0|0|6|危機管理:10&br;師団活性:5|軍師が身につける羽織。|
|4|サーコート|1600|400|0|16|0|0|前進防御&br;堅守体躯:10|騎士が鎧の上に纏うコート。|
|4|クピドの白衣|1600|400|0|10|0|6|運命改変:7&br;魅了攻撃:1|天界のクピドが身に着ける、ラブリーな衣装。|
|4|コボルド忍装束|1600|400|0|4|12|0|必殺耐性:10&br;反撃倍加:2|コボルド族のクノイチが身に着ける装束。|
|5|ゴールドローブ|3200|800|8|12|0|0|撃破金運:3&br;トレハン:9|金糸で編み込んだ豪奢なローブ。|
|5|アサシンクローク|3200|800|20|0|0|0|側面攻撃:5&br;致命必殺:45|暗殺者が好んで使う、隠蔽コート。|
|5|料理長エプロン|3200|800|0|0|14|6|グルメ魂:4&br;削減治療|神魔隔てなく腕を認められた料理長が着ることを許されるエプロン。|
|5|魔界ナース服|3200|800|12|0|0|8|男性特攻:1&br;心核穿ち:15|魔界の医療者が身に着ける、天使の被服。コスプレ用としても重宝される。|
|5|試練の水着|3200|800|0|0|16|4|全力攻撃:25&br;背水の陣:10|布面積の少ないこれを着て戦場に出ることは、すなわち試練である。|
|6|闇司祭のローブ|9600|2400|14|0|4|6|大強酸陣:5&br;腐敗の繭:10|闇司祭の証である黒いローブ。|
