**獣装 [#s2ffb856]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|手綱|200|50|0|0|3|1|専守防衛|獣につける手綱。|
|1|獣のピアス|200|50|3|1|0|0|獣族活性:1|お気に入りのペットに付ける耳タグ。|
|1|襟巻|200|50|2|2|0|0|致命耐性:10|首に巻くおしゃれなペット装飾品。|
|1|老獣の入れ牙|200|50|2|0|2|0|致命必殺:3|老獣兵愛用の入れ歯。戦闘中たまに取れるのが難点。|
|1|獣皮のストール|200|50|0|2|2|0|特攻防御:3|なめし皮を襟巻状にした防寒具。|
|2|魔界ペットの服|400|100|2|4|0|2|自己治癒:2|魔界のペットに着せられる着衣。|
|2|鉄輪の鼻輪|400|100|4|4|0|0|反撃耐性:7|獣につける金属の鼻輪。ペットのおしゃれにどうぞ。|
|2|アイアンホーン|400|100|6|0|2|0|全力攻撃:8|鉄で出来た武骨な角。|
|2|タケノコ帽子|400|100|2|0|6|0|奇襲戦法:6&br;グルメ魂:1|タケノコの見た目のペット用帽子。一部の環境での迷彩度が高い。|
|2|服従の首輪|400|100|6|6|0|-4|思考停止&br;報復の牙:5|つけると服従を強制される呪われた装具。|
|3|怪牛の鼻輪|800|200|8|4|0|0|致命必殺:15&br;攻撃布陣:4|魔界に棲むとされる巨牛の鼻輪。|
|3|魔獣用軟膏|800|200|0|4|4|4|必殺増加:10&br;解毒治療|可愛いペットのケアも、これで安心。|
|3|吊り人参|800|200|4|0|8|0|前進防御&br;全力攻撃:15|馬の頭の前に吊り下げてやる気を出させるアレ。虐待ではない。|
|3|魔獣の襟巻|800|200|4|4|4|0|カブト割:8&br;必殺耐性:10|魔界ペットの為に造られた、おしゃれな襟巻。|
|3|ケンコー骨|800|200|0|12|0|0|ブロック:5&br;リカバリ:10|カルシウムたっぷりの健康な骨。肉食獣にも好まれる。|
|4|イビルホーン|1600|400|12|4|4|-4|全力攻撃:20&br;人間特攻:1|１０００人の血を吸った悪魔のツノ。|
|4|スパイクショルダー|1600|400|8|12|-4|0|反撃倍加:1&br;堅守体躯:10|不意に攻撃してくる敵にも対応できるトゲトゲ防具。|
|4|魔界風鈴|1600|400|0|4|8|4|自爆結界:15&br;削減治療|魔界の風情を楽しむ巨大風鈴。心頭滅却すれば火もまた涼し。|
|4|触手男爵の帽子|1600|400|4|0|12|0|確率追撃:25&br;グルメ魂:3|触手男爵のオシャレなシルクハット。優雅に、そして紳士的にティータイムを楽しもう。|
|4|女王蟲の羽飾り|1600|400|0|0|16|0|強酸放射:10&br;無形体躯:10|蟲の女王の羽を飾りにしたもの。魔力の加護が宿っている。|
|5|ビーストスケイル|3200|800|4|16|0|0|パリング:10&br;致命耐性:30|魔獣に装着するウロコ鎧。|
|5|牽引戦車|3200|800|0|8|12|0|乾坤一擲:15&br;兵士運搬|魔獣運搬力を底上げする引き車。|
|5|マタドールマント|3200|800|8|8|4|0|イベイド:15&br;追撃阻止:15|興奮する魔獣をいなす、真っ赤なマント。敵前にちらつかせて使う。|
|5|黄金の入れ牙|3200|800|15|0|0|5|カブト割:15&br;トレハン:6|ゴールド製の入れ牙。セレブ魔獣の証。|
|5|黄金獣皮のストール|3200|800|0|10|10|0|撃破金運:5&br;特攻防御:25|希少な黄金獣のなめし皮を襟巻状にした高級防寒具。|
