**片手 [#s3a4e39f]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|ブロンズナイフ|200|50|2|0|2|0|致命必殺:5|銅製の小さなナイフ。最低限の武器といえる。|
|1|ハチェット|200|50|4|0|0|0|カブト割:3|手軽に扱える小さな斧。|
|1|クナイ|200|50|0|0|4|0|奇襲戦法:5|忍者がよく使う暗器。|
|1|果物ナイフ|200|50|0|0|2|2|グルメ魂:1|小ぶりのフルーツナイフ。|
|1|インセクトニードル|200|50|3|0|1|0|毒化攻撃:5|蟲から切り出した素材で作った小型武器。|
|2|ブロンズソード|400|100|6|2|0|0|必殺増加:5|銅で出来た剣。扱いやすい標準的なもの。|
|2|皮剥ぎナイフ|400|100|3|0|5|0|獣族特攻:1|獣の革を剥ぐためのナイフ。狩人の必需品。|
|2|脇差|400|100|5|0|3|0|パリング:5|軽量で扱いやすい刀。|
|2|長ドス|400|100|8|0|0|0|致命必殺:10&br;思考停止|無心で敵に特攻するためのブキ。|
|2|ロングソード|400|100|5|3|0|0|連携攻撃:5|使い勝手がよく、バランスの取れた長剣。|
|3|カットラス|800|200|8|0|4|0|必殺増加:5&br;人間特攻:1|力が伝わりやすい刃の広い曲刀。|
|3|手投げトマホーク|800|200|4|4|4|0|遠隔攻撃&br;カブト割:5|重量を調整した、投擲用の手斧。遠距離攻撃が可能。|
|3|カタナ|800|200|12|0|0|0|致命必殺:25&br;パリング:5|よく切れる東方伝来の曲剣。|
|3|蛍光刀|800|200|4|6|2|0|夜行特攻:1&br;奇襲警戒:8|夜でも明るい便利な刀。奇襲には向かない。|
|3|シルバータスク|800|200|6|0|6|0|死者特攻:1&br;確率追撃:15|銀製の魔を退ける効能がある剣。|
|4|デビルスレイヤー|1600|400|10|6|0|0|必殺耐性:10&br;魔族特攻:1|悪魔を切り伏せる霊銀製の退魔剣。|
|4|アイスソード|1600|400|8|4|0|4|凍結攻撃:15&br;炎霊特攻:1|氷を発生させるアーティファクトソード。|
|4|銭剣|1600|400|0|10|0|6|撃破金運:4&br;トレハン:6|お金を束ねた剣。金の力で全てを解決する。|
|4|海賊サーベル|1600|400|12|0|4|0|側面攻撃:4&br;海洋特攻:1|海賊が好んで使用する扱いやすいサーベル。|
|4|パペットソード|1600|400|8|8|2|-2|全力攻撃:15&br;連携攻撃:10|人形の騎士が持つ小ぶりな剣。|
|5|フレイムソード|3200|800|16|0|0|4|火炎放射:10&br;氷霊特攻:1|炎を発生させるアーティファクトソード。|
|5|サンダーソード|3200|800|12|0|4|4|雷撃放射:10&br;海洋特攻:1|紫電を発生させるアーティファクトソード。|
|5|ナイツオブオナー|3200|800|8|12|0|0|堅守体躯:10&br;専守防衛|崇高なる騎士の名剣。|
|5|死神赤ちゃんの鎌|3200|800|8|0|12|0|必殺増加:10&br;心核穿ち:10|生まれたての死神が最初に渡される小さな鎌。|
|5|スチールソード|3200|800|10|10|0|0|カブト割:15&br;反撃耐性:25|頑強な鋼鉄製の剣。|
|6|ブラッドソード|9600|2400|16|8|0|0|呪の一撃&br;吸血攻撃:7|血を求める呪われた闇の剣。|
|6|アサシンナイフ|9600|2400|8|0|16|0|致命必殺:50&br;麻痺攻撃:2|暗殺者ご用達の麻痺毒ナイフ。|
