**鞭 [#qb95cb30]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|レザーベルト|200|50|2|0|2|0|矮小体躯:2|革製のベルト。腰をキュっとしめて、少しでもスリムに見せよう。|
|1|調教鞭|200|50|3|0|1|0|人間支配:2|痛みを与える事に特化した鞭。|
|1|ネコジャラシの鞭|200|50|1|0|3|0|奇襲戦法:3&br;先陣の誉|気を逸らして不意打ちする鞭。|
|1|砕石袋|200|50|5|-1|0|0|撃破金運:1|砂と石を詰めてずっしりとした袋。|
|1|雑草束|200|50|0|0|4|0|リカバリ:2|いわゆるただの草。しかし、今こそ雑草魂を見せる時だ！|
|2|ヌンチャク|400|100|4|0|4|0|パリング:5|扱いの難しい特殊な打撃武器。|
|2|イバラ鞭|400|100|5|0|3|0|毒化攻撃:7|植物の茨から造られた鞭。|
|2|キャットテイル|400|100|2|2|2|2|イベイド:3&br;思考停止|ネコのしっぽ鞭。可愛いさのあまり思考が停止する。|
|2|呪いの濡れ雑巾|400|100|6|-4|6|0|戦術妨害:5&br;遠隔攻撃|絞っても水分が抜けない呪いの雑巾。顔に叩きつけることで精神に打撃。|
|2|くすぐり羽|400|100|0|0|6|2|不殺の誓&br;標的後逸|近くにいる者をくすぐるには絶好のアイテム。|
|3|鎖鎌|800|200|8|0|4|0|側面攻撃:3&br;樹霊特攻:1|鎖と鎌の二つを組み合わせた武器。|
|3|スパイクベルト|800|200|10|4|-2|0|全力攻撃:10&br;防御削減:7|鉄で装飾された革ベルト鞭。|
|3|若草の鞭|800|200|0|4|4|4|自己治癒:5&br;対術結界:5|生命力溢れた若草を束ねて造った鞭。|
|3|バトルヨーヨー|800|200|8|0|4|0|遠隔攻撃&br;カブト割:10|流行に敏感な魔界の子供たちの間で人気の、喧嘩ヨーヨー。|
|3|悪魔のしっぽ|800|200|8|0|2|2|人間特攻:1&br;結界の歪:5|悪魔族から切り取ってきたと思われるしっぽ。少しピクピクしている。|
|4|フレイル|1600|400|10|6|0|0|防御布陣:10&br;パリング:10|長い柄と鎖、打撃部で構成された棍。|
|4|成仏の数珠|1600|400|8|8|-4|4|死者特攻:1&br;死者支配:6|コレを持てば、物理的に敵を成仏させることが出来る。|
|4|アイドルリボン|1600|400|0|0|8|8|師団活性:5&br;トレハン:4|つけるだけでアイドル気分に浸れる不思議なリボン。|
|4|デッドリーケンダマ|1600|400|10|0|6|0|必殺増加:10&br;奇襲戦法:10|油断すると当たり所が悪くて死ぬ危険なトゲ付きけん玉。|
|4|火焔鳥の羽|1600|400|12|0|0|4|リカバリ:15&br;イベイド:10|火を纏った怪鳥の羽根。振ると火の粉をまき散らす。|
|5|雷撃鉄球|3200|800|16|0|0|4|城壁崩し:60&br;雷撃砲弾:3|電撃を纏ったトゲ鉄球。あたり前だが、当たると痛い。|
|5|愛の鞭|3200|800|8|0|6|6|反撃倍加:2&br;特攻防御:30|これもまた一つの愛の形。|
|5|触腕|3200|800|9|2|9|0|男性活性:8&br;女性特攻:1|名もなき触手の生きた証。|
|5|多節棍|3200|800|12|-4|12|0|多段攻撃:1&br;堅守体躯:10|無数に折れ曲がることが特徴の棍棒の一種。|
|5|ブレイズウィップ|3200|800|14|0|6|0|致命必殺:40&br;自爆結界:20|燃え盛る炎の鞭。|
