**斧槍 [#h70a558f]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|カッパースピア|200|50|1|3|0|0|全力攻撃:5|銅で出来た槍。辺境の最下級兵士の装備。|
|1|竹槍|200|50|0|4|0|0|背水の陣:2|安い、軽い、弱いと三拍子そろったお手軽武具。|
|1|つるはし|200|50|8|0|-4|0|撃破金運:1|鉱夫が持つ簡素な作りの道具。武器としても使える。|
|1|モップ|200|50|0|3|0|1|奇襲警戒:3|一般的な掃除道具。キレイにしておけば、いざという時に困らない。|
|1|アピールスピア|200|50|1|0|3|0|前進防御|戦場で前に一歩出て、自分をアピールするのに長けた槍。|
|2|ロングスピア|400|100|2|6|0|0|必殺増加:5|一般的な鉄槍。長くて便利。|
|2|木槌|400|100|12|0|-4|0|城壁崩し:25|土木工事も、軍隊の重要な仕事ですよ？|
|2|騎兵軍旗|400|100|0|6|0|2|戦意高揚:10&br;先陣の誉|先陣を駆ける騎兵が持つ軍旗。そこには兵達が続く。|
|2|巨大石斧|400|100|12|0|0|-4|全力攻撃:2&br;グルメ魂:1|原始の力を感じる巨大な石斧。いっちょ、ひと狩りいこうか！|
|2|シー・ハープーン|400|100|6|0|2|0|海洋特攻:1&br;思考停止|腹が減ったら無心で魚でも獲ればいい。そんな槍。|
|3|ジャベリン|800|200|4|0|8|0|遠隔攻撃&br;奇襲戦法:7|投擲用の鉄槍。扱いにコツがいる。|
|3|破城槌|800|200|18|0|-6|0|カブト割:5&br;器兵特攻:1|門扉を砕く為に造り出された大槌。|
|3|ナギナタ|800|200|6|6|0|0|側面攻撃:5&br;反撃耐性:15|東国の独特の形状をした槍。|
|3|魔界農夫のフォーク|800|200|0|8|0|4|資源工面:10&br;グルメ魂:2|魔界農夫たちが持つ農具。一揆の際にも使われる。|
|3|ビースト・パイク|800|200|12|0|4|-4|貫通攻撃&br;反撃倍加:1|獣人に好まれるしなやかな槍。|
|4|ブライトスピア|1600|400|10|6|0|0|魔族特攻:1&br;死者特攻:1|魔を祓う霊銀製の退魔長槍。|
|4|ホーリーメイス|1600|400|12|0|0|4|カブト割:10&br;必殺増加:5|鎧ごと相手を撲殺するエグい武具。一応聖なる武具らしい。|
|4|フラグマンスピア|1600|400|8|8|0|0|勇猛果敢&br;堅守体躯:10|前線で兵を導く勇猛なる者の旗槍。|
|4|魔獣ハンターの銛|1600|400|16|0|0|0|獣族特攻:1&br;海洋特攻:1|魔獣を狩るハンターのための銛。一撃に賭けろ！|
|4|メタルアックス|1600|400|12|12|-8|0|巨人狩り:10&br;パリング:10|かなり重量のある機械兵の大斧。|
|5|サンダージャベリン|3200|800|12|0|8|0|遠隔攻撃&br;必殺増加:10|雷の力が込められた投槍。|
|5|悪魔の焼きごて|3200|800|20|0|0|0|心核穿ち:15&br;火炎放射:6|悪魔が罪人に押す焼きごて。割と熱い。|
|5|ゴールドマトック|3200|800|28|0|-8|0|撃破金運:5&br;トレハン:6|迷宮の壁すらブチ抜く、伝説のつるはし。外壁には弱い。|
|5|黄金のクワ|3200|800|0|14|0|6|日中適応&br;グルメ魂:4|伝説の農夫が持つ黄金のクワ。農業で食卓を豊かにしよう。|
|5|スチールランス|3200|800|18|2|0|0|連携攻撃:15&br;堅守体躯:15|機械文明で製造された鋼鉄製の騎士槍。|
