**糧食 [#o56c2d8d]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|爆弾おにぎり|200|50|4|0|0|0|自爆障壁:15|爆弾のような形が特徴的な、東方伝統のライスボール。【穀物類】|
|1|魔界みそ汁|200|50|0|4|0|0|反撃耐性:10|魔界では一般的な東方料理のスープ。【スープ類】|
|1|フライングチキン|200|50|0|0|4|0|特攻防御:5|超高速調理により調理されたことに気付けない鳥料理。【肉類】|
|1|マタンゴソテー|200|50|0|3|0|1|致命必殺:10|茸妖精が一目ぼれした相手にだけ振る舞う求愛の料理。【惣菜類】|
|1|バレット納豆|200|50|3|0|1|0|暴走攻撃:5|弾丸のようにハジける黒い納豆。危険だが粋な一皿。【惣菜類】|
|2|フェアリーチーズ|400|100|0|0|6|2|自己治癒:3|妖精が幻獣の乳から作ったとされるチーズ。ほんのり甘くてお菓子のよう。【菓子類】|
|2|かち氷|400|100|6|0|2|0|グルメ魂:1|氷霊特製の粉々に砕いた氷にシロップをかけた氷菓。【菓子類】|
|2|きんぴかごぼう|400|100|6|2|0|0|必殺増加:5|黄金ごぼうで作られた金平ごぼう。【惣菜類】|
|2|海鮮まりもサラダ|400|100|0|8|0|0|反撃倍加:1|藻鼠の身体の周囲にまとった藻は、食材になり、サラダに最適。【惣菜類】|
|2|触手アンドチップス|400|100|4|0|4|0|連携攻撃:10|触手のフライとフライドポテトを組み合わせた魔界の伝統郷土料理。【惣菜類】|
|3|ファンガスパスタ|800|200|0|0|12|0|確率追撃:15|ファンガス族に伝わる伝統のパスタ。不思議な健康効果がある。【麺類】|
|3|アルラウネジュース|800|200|6|0|4|2|解毒治療|アルラウネに実った瑞々しい果実が原料のフルーツジュース。【ドリンク類】|
|3|魔蟲の琥珀ゼリー|800|200|6|0|6|0|麻痺治療|見た目はアレだが、意外と栄養があって保存食としては有益。【菓子類】|
|3|紅蓮ようかん|800|200|0|0|10|2|グルメ魂:2|真っ赤に燃え溶けるようかん。見た目に反して非常に甘い。【菓子類】|
|3|岩石ヴィシソワーズ|800|200|0|12|0|0|無形体躯:10|ゴーレム片が入ったジャガイモスープ。バラバラになってもくっつきそう。【スープ類】|
|4|魔界キビ団子|1600|400|8|0|6|2|グルメ魂:3|魔界のペットを手名付ける撒き餌。【菓子類】|
|4|割腹プリン|1600|400|12|0|4|0|削減治療|腹が割れてしまうほどおいしいプリン。すぐ治るので安心。【菓子類】|
|4|魔界ハチミツアイス|1600|400|4|0|8|4|解呪治療|魔界の蜂が蓄えたハチミツから作られた口の中でとろけるアイス。【菓子類】|
|4|コボルドクッキー|1600|400|8|0|8|0|バリアー:2|コボルド族が愛食する可愛らしいドングリクッキー。【菓子類】|
|4|ゾンビシューマイ|1600|400|22|0|0|-6|思考停止|何度かんでもかみ切れない、不屈の弾力と生命力を持った厄介なシューマイ。【惣菜類】|
|5|女房のはまぐりご飯|3200|800|8|0|10|2|対術結界:10|蛤の精が特に親交を深めた相手に振る舞ってくれる料理。【穀物類】|
|5|毒鳥の鉄砲焼き鳥|3200|800|4|16|0|0|特攻防御:15|毒抜きに失敗すると「アタる」焼き鳥。しかし美味。【肉類】|
|5|ブラッドスープ|3200|800|12|8|0|0|反撃耐性:20|魔亀の甲羅に溜められた、血のスープ。【スープ類】|
