**両手 [#f9d9618c]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|銅の大剣|200|50|6|0|-2|0|致命必殺:5|銅で出来た大剣。辺境での荒事で見かける。|
|1|巨木刀|200|50|8|0|-4|0|死者特攻:1|みんな、丸太は持ったな！？|
|1|鉄パイプ|200|50|8|0|0|-4|全力攻撃:5|ＶＢでこれを使う工事現場がどこにあるとか、そういうツッコミをしてはいけない。|
|1|巨大ハリセン|200|50|0|0|4|0|専守防衛|魔界漫才師の巨大ハリセン。相方のツッコミ待ちになる。|
|1|錆びた大剣|200|50|8|-4|0|0|闇雲攻撃|持ち手がぐらつき、どこに攻撃がいくかわからない不安な大剣。|
|2|フランベルジュ|400|100|12|0|-4|0|カブト割:5|刃が炎のごとく波打った大剣。|
|2|船の櫂|400|100|4|4|0|0|背水の陣:4|昔強い剣豪が、ライバルをこれで撲殺したとか。|
|2|盗掘用バール|400|100|0|0|4|4|トレハン:2|鍵などをこじあける、裏稼業に好まれるバール。|
|2|岩石の剣|400|100|4|12|-8|0|城壁構築:25|巨大な岩石から掘り出されて造られた石剣。|
|2|いざないの笛竿|400|100|2|0|4|2|資源工面:5&br;標的後逸|獲物を呼び寄せる不思議な効能を持つ釣り竿。|
|3|バスタードソード|800|200|12|6|-6|0|カブト割:10&br;反撃耐性:10|片手でも両手でも使える剣。|
|3|痣丸|800|200|20|-8|0|0|暴走攻撃:50&br;人間特攻:1|持ち主に祟りをなすと言われている呪われた刀。稀によく味方を攻撃する。|
|3|奉納刀|800|200|4|4|0|4|終の奇跡:5&br;魔族特攻:1|神に献上する剣。霊験あらたか。|
|3|ノコギリ|800|200|12|0|0|0|側面攻撃:5&br;樹霊特攻:1|巨大な両手用ノコギリ。樹木カットに最適。|
|3|クレイモア|800|200|16|-2|-2|0|全力攻撃:10&br;パリング:10|力任せの戦士が使用する威力重視の両手剣。|
|4|ゾンビバスター|1600|400|12|4|0|0|死者支配:6&br;死者特攻:1|死者に安らぎを与える、討滅の剣。|
|4|斬馬大刀|1600|400|24|0|-8|0|致命必殺:25&br;必殺増加:10|馬を一太刀で切断する巨大な両手剣。|
|4|天使のフライパン|1600|400|0|10|0|6|ブロック:10&br;グルメ魂:3|超美味しい料理が作れるフライパン。|
|4|ブラッドシザー|1600|400|24|-8|0|0|狂奔の牙:5&br;狂戦士化:10|怨念の宿った血まみれの大ばさみ。|
|4|ツヴァイハインダー|1600|400|18|4|-6|0|カブト割:15&br;貫通攻撃|傭兵に好まれる武骨な両手剣。|
|5|バジリスクの毒刃|3200|800|20|4|0|-4|毒化攻撃:10&br;毒気放射:12|バジリスクの毒で鍛え上げられた大剣。禍々しい。|
|5|蜘蛛切丸|3200|800|8|8|4|0|反撃倍加:2&br;蟲族特攻:1|勝手に蟲を切ってくれる刀。夏の夜もこれで安心。|
|5|ソードブレイカー|3200|800|10|10|0|0|攻撃削減:10&br;至高の盾:10|巨大な武具破壊剣。これで魔城の敵にも負けない。|
|5|黄金のハリセン|3200|800|0|0|16|4|撃破金運:4&br;トレハン:6|黄金に輝くハリセン。これで叩かれると運気があがるらしい。|
|5|ガーディアンソード|3200|800|8|20|-8|0|火事場力:15&br;堅守体躯:15|城塞の守備隊が持つ頑丈な大剣。|
