**装飾 [#kb5b9599]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|鼻ピアス|200|50|3|1|0|0|必殺増加:1|鼻に付けるアクセサリー。グレートぶひっ！|
|1|貝のイヤリング|200|50|0|0|3|1|戦意高揚:5|恋人にあげると喜ぶアクセサリー。|
|1|伊達メガネ|200|50|3|0|0|1|知力布陣:2|つけると、ちょっと頭が良くなったように見えるアイテム。|
|1|ベルトポーチ|200|50|0|2|2|0|撃破金運:1|小物入れに便利な腰袋。|
|1|学院徽章|200|50|0|2|0|2|人間活性:1|学院で学びを得た者に与えられる証。|
|2|ピエロ帽子|400|100|0|0|6|2|戦術強撃:3&br;先陣の誉|今まで見えなかったものが見えるようになる帽子。「ハァイ、ジョニー！」|
|2|メスヤーキの守り|400|100|0|8|0|0|リカバリ:3|気休め程度にご利益のあるお守り。キヤスメ。|
|2|空賊のゴーグル|400|100|0|0|8|0|奇襲警戒:7|空賊が好んでつけているゴーグル。|
|2|鉄の腕輪|400|100|6|2|0|0|カブト割:3|鉄でできた武骨な腕輪。重さを生かして拳打の威力を増す。|
|2|悪夢のアイマスク|400|100|-4|12|0|0|恐怖の瞳:2&br;専守防衛|装備することで身動きできなくなるが、相手に微かな威圧を与える。|
|3|魔術師の指輪|800|200|8|0|0|4|魔術放射:8&br;対術結界:10|魔術師の魔力を込めた指輪。|
|3|涙石のイヤリング|800|200|0|6|4|2|撃破金運:3&br;自己治癒:5|綺麗な宝石のイヤリング。運気も良くなる。|
|3|火器制御チップ|800|200|20|-8|0|0|致命必殺:20&br;竜の吐息:1|古代兵器のサポート部品だが、規格がバラバラで使いづらい。|
|3|魔法の水筒|800|200|0|10|0|2|グルメ魂:2&br;解毒治療|常に新鮮で冷たい水が飲める、錬金術で作られた水筒。いつでも遠足気分。|
|3|クラウンレンズ|800|200|2|8|0|2|必殺増加:5&br;戦術補助:5|視力が良くなる錬金術の小型ガラス。|
|4|魔性の首飾り|1600|400|24|0|0|-8|乾坤一擲:15&br;狂戦士化:5|正体不明の首飾り。つけた者の末路は、誰も知らない。|
|4|枢機卿の聖帽|1600|400|0|8|4|4|全体治癒:5&br;砲撃結界:15|えらい聖職者の帽子。|
|4|演算サポメイド|1600|400|0|0|8|8|カブト割:10&br;運命改変:10|弾道演算をサポートしてくれる、メイド型ロボット。|
|4|エーテルタンク|1600|400|10|6|0|0|全力攻撃:10&br;自決自爆:25|エーテル燃料が入った機械兵装用の小型燃料補充タンク。|
|4|星のブローチ|1600|400|0|4|6|6|終の奇跡:10&br;バリアー:4|星の形をした小さなブローチには、思い出が込められている。|
|5|ウィッチ・ハット|3200|800|16|0|0|4|必殺増加:10&br;四法結界:5|魔女ご用達の魔力を高める帽子。|
|5|金のモーターギア|3200|800|0|0|20|0|疾風迅雷:5&br;暴走攻撃:50|黄金色に輝くモーターギア。ハイスピードになれる。|
|5|ベヒモス車掌帽|3200|800|6|10|0|4|師団活性:6&br;夜戦適応|ベヒモス量産の暁には、正式制帽になる予定。|
|5|トレジャーボックス|3200|800|0|14|0|6|撃破金運:5&br;トレハン:8|見るからに豪華な宝箱。宝物を一杯詰め込もう。|
|5|豪華な王冠|3200|800|0|4|10|6|戦意高揚:50&br;騎士支配:8|王が身に着けるに相応しい、金ぴかな王冠。|
