**盾 [#h8ee46c3]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|バックラー|200|50|0|4|0|0|ブロック:2|攻撃を受け流す為の小型の盾。|
|1|なべのふた|200|50|1|1|1|1|トレハン:1|お鍋の蓋。それ以外言いようが無い。|
|1|ウッドシールド|200|50|1|3|0|0|反撃耐性:5|気休め程度の木製盾。|
|1|まな板|200|50|2|2|0|0|グルメ魂:1|料理人の必須アイテム。|
|1|作業籠|200|50|0|0|4|0|資源工面:5&br;標的後逸|自分が盾持ちだということを、つい忘れて作業に没頭してしまう普通の籠。|
|2|シールド|400|100|2|6|0|0|ブロック:4|一般的なシールド。弱い攻撃を防ぐ。|
|2|鉄鍋|400|100|0|5|0|3|グルメ魂:2|鉄で出来た中華鍋。元気になる料理を振舞おう。|
|2|置き盾|400|100|0|6|2|0|イベイド:4&br;専守防衛|矢の雨が降ってもコレがあれば大丈夫！|
|2|ちゃぶ台の盾|400|100|8|0|0|0|パリング:7|何となく盾につかえなくもなさそうなテーブル型シールド。|
|2|マリンシールド|400|100|0|4|4|0|水流放射:5|貝殻を模した盾。なんとなく海に強くなった気になれる。|
|3|カイトシールド|800|200|0|8|4|0|ブロック:6&br;削減治療|幅広の大盾。|
|3|樹海部族の盾|800|200|0|4|4|4|術式増幅:3&br;必殺耐性:5|先住民族の怪しげな盾。様々な呪術が施されている。|
|3|灯火の盾|800|200|6|3|0|3|火炎放射:5&br;奇襲警戒:7|火の魔力が込められた円盾。|
|3|ソードシールド|800|200|10|10|-8|0|反撃倍加:1&br;必殺増加:5|先端に刃がついた、攻撃出来る盾。|
|3|ファングシールド|800|200|12|4|0|-4|報復の牙:10&br;致命必殺:25|巨獣の牙を連ねて作った盾。|
|4|ホーリーシールド|1600|400|3|10|3|0|解呪治療&br;対術結界:15|魔を弾き返す、純銀の盾。|
|4|鬼面の盾|1600|400|8|8|0|0|致命耐性:25&br;堅守体躯:10|鬼の顔が意匠として凝らされた大盾。|
|4|バイキングの盾|1600|400|4|8|4|0|撃破金運:3&br;トレハン:5|バイキングが持つ蛮族盾。|
|4|ティンベー|1600|400|0|20|-4|0|ブロック:10&br;カブト割:10|亀の甲羅で出来た頑丈な盾。|
|4|騎士の盾|1600|400|0|16|0|0|パリング:15&br;特攻防御:15|騎士に好まれるオーソドックスでありながら手堅い盾。|
|5|ゴールドシールド|3200|800|0|16|4|0|戦術結界:20&br;撃破金運:4|黄金で造られた豪華絢爛な盾。|
|5|黄金の鉄鍋|3200|800|0|16|0|4|グルメ魂:4&br;解毒治療|黄金で出来た鉄鍋。少しモヤっと感があるが、一流の料理人は気にしない。|
|5|スパイクシールド|3200|800|8|12|0|0|必殺増加:15&br;反撃耐性:25|トゲトゲのついたいかにも強そうな反撃盾。|
|5|ライオットシールド|3200|800|0|12|8|0|堅守体躯:15&br;砲撃結界:20|エーテル機械兵が用いる暴徒鎮圧用の盾。|
|5|スチールシールド|3200|800|2|18|0|0|ブロック:15&br;必殺耐性:10|重量のある鋼鉄製の盾。頑強だが重い。|
|6|ミスリルシールド|9600|2400|4|16|4|0|防御布陣:15&br;四法結界:10|どんな魔術も寄せ付けない不思議な盾。|
|6|魔界コックの鍋蓋|9600|2400|4|14|0|6|貫通無効&br;反撃倍加:2|どう見ても鍋蓋なのだが、やたら凄い。|
