**杖 [#bf1493df]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|魔術師の杖|200|50|2|0|0|2|火炎放射:3&br;遠隔攻撃|初級魔術士が持つ魔術杖。|
|1|僧侶の杖|200|50|0|2|0|2|全体治癒:1&br;専守防衛|癒しの力が込められた聖なる杖。|
|1|麺棒|200|50|1|1|1|1|グルメ魂:1|ただの麺棒と侮るなかれ。実はこれはですね…。|
|1|とりもちの杖|200|50|0|2|1|1|戦術妨害:5|先端にもちトラップがついた杖。|
|1|松明|200|50|1|1|0|2|樹霊弱体:2&br;火炎放射:1|持つと明るくなる手ごろな照明。火をつけるのにも役立つ。|
|2|メイジスタッフ|400|100|5|0|0|3|氷撃放射:5&br;遠隔攻撃|中級魔術士が持つ魔術杖。|
|2|孫の手|400|100|2|2|2|2|麻痺治療|痒い所に手が届く便利道具。|
|2|ピコピコハンマー|400|100|3|0|3|2|トレハン:3&br;知力削減:2|誰にでも扱える素晴らしい武器。愛称ピコハン。|
|2|釘バット|400|100|8|-1|0|1|致命必殺:10|多数の釘を打ち込み攻撃力が上がったバット。|
|2|仕込み錫杖|400|100|5|3|0|0|神術放射:3&br;奇襲戦法:5|普通の杖と見せかけて、刃が隠されている護身用の武器。|
|3|仙人の杖|800|200|0|4|4|4|全体治癒:3&br;解毒治療|神通力を得た仙人が持つ樫の杖。|
|3|骸骨杖|800|200|8|-4|0|4|魔族医療:5&br;呪の一撃|ネクロマンサーに好まれる骨杖。|
|3|ウィングロッド|800|200|6|0|3|3|遠隔攻撃&br;自爆結界:15|風の魔力が込められた魔術杖。|
|3|聖なるハンドベル|800|200|0|8|0|4|バリアー:3&br;致命耐性:20|神族愛用のハンドベル。|
|3|神秘の杖|800|200|3|0|0|5|確率追撃:15&br;特攻防御:10|体内の気を活性化させる杖。|
|4|司祭の杖|1600|400|0|6|5|5|全体治癒:5&br;削減治療|神殿の司祭が持つ杖。|
|4|戦術羽うちわ|1600|400|5|0|6|5|師団活性:5&br;奇襲警戒:15|カラス天狗族に伝わる羽うちわ。|
|4|戦闘魔導杖|1600|400|12|-3|4|3|必殺増加:10&br;魔術放射:10|物理、魔法どちらにでも対応できる画期的な杖。|
|4|デビルフライ返し|1600|400|4|4|4|4|グルメ魂:3&br;反撃倍加:2|魔界料理人に愛される調理器具の一つ。|
|4|パペットケイン|1600|400|8|4|0|4|大魔術陣:3&br;封印攻撃|人形の魔術師が持つ宝玉の杖。|
|5|黄金の麺棒|3200|800|5|5|5|5|グルメ魂:4&br;トレハン:6|伝説の厨師となる者が持っていたという金の麺棒。|
|5|ゴールドセプター|3200|800|-2|12|5|5|運命改変:10&br;撃破金運:5|神々しい金の杖。金運も上がりそう。|
|5|ブラストロッド|3200|800|16|-6|6|4|全力攻撃:20&br;自決自爆:30|敵を叩いて爆発四散させる杖。取り扱いに注意。|
|5|如意棒|3200|800|8|0|12|0|側面攻撃:5&br;カブト割:15|伸縮自在の不思議な棒。|
|5|エルダーケイン|3200|800|14|0|0|6|戦術強撃:25&br;戦術結界:25|古のドルイドが愛用する杖。|
|6|癒しの杖|9600|2400|0|14|0|10|全体治癒:10&br;専守防衛|攻撃をせず、回復に専念するヒーラーのための杖。|
|6|禁術師の杖|9600|2400|12|-10|16|6|致命必殺:35&br;強制異常:10|樹海に住む先住民族の呪術師が持つ杖。|
