**爪 [#l5a96cd0]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|クロー|200|50|2|1|1|0|必殺増加:2|拳に付けるタイプの武器。扱いが簡単。|
|1|カッパーネイル|200|50|2|2|0|0|致命必殺:5|鈍い光を反射する銅の爪。|
|1|職人手袋|200|50|0|0|4|0|撃破金運:1|職人が着用する手袋。|
|1|猫の手|200|50|0|0|2|2|全体治癒:2|目が回るほど忙しい時に借りたくなる。猫の手。|
|1|防刃グローブ|200|50|0|4|0|0|致命耐性:10|刃物から手を保護する強化グローブ。|
|2|ボーンクロー|400|100|4|0|4|0|毒化攻撃:7|骨で出来た爪。毒性を持っている。|
|2|獣の爪牙|400|100|3|0|5|0|カブト割:5|野生の獣の爪牙を加工した武器。|
|2|スパイクグローブ|400|100|5|0|3|0|全力攻撃:7|痛そうなトゲトゲのグローブ。|
|2|パンチグローブ|400|100|4|2|2|0|反撃耐性:7|拳を保護する拳闘用グローブ。|
|2|アウトローグローブ|400|100|4|4|0|0|特攻防御:5&br;標的後逸|孤高のアウトローが身に着けるグローブ。近寄りがたい。|
|3|シルバークロー|800|200|8|0|4|0|必殺増加:5&br;対術障壁:30|銀で造られた爪。単純ながら強力。|
|3|暴獣の爪牙|800|200|12|-4|4|0|人間特攻:1&br;暴走攻撃:50|凶暴な獣の爪牙を加工した武器。暴れすぎて味方を攻撃する時も。|
|3|メタルナックル|800|200|6|6|0|0|器兵特攻:1&br;反撃倍加:1|がっしりしたナックルガード。重くて殴ると痛い。|
|3|マジックハンド|800|200|0|4|4|4|側面攻撃:6&br;奇襲戦法:6|伸縮装置の付いた便利な武器。急に伸ばして不意を付くことが可能。|
|3|ロボットアーム|800|200|8|8|0|-4|カブト割:10&br;パリング:5|中型の機械兵器の腕。|
|4|ホーリークロー|1600|400|6|4|0|6|魔族特攻:1&br;死者特攻:1|聖なる光を放つ霊銀製の爪。|
|4|魔獣の爪牙|1600|400|14|-6|8|0|致命必殺:25&br;麻痺攻撃:2|魔界でも珍しい魔獣の爪牙を模した爪。|
|4|メリケンサック|1600|400|10|0|6|0|必殺増加:10&br;反撃耐性:20|ヘイ！メリケンサックなら、ズボンの後ろポケットに入っている！|
|4|ドリルアーム|1600|400|12|4|0|0|全力攻撃:15&br;城壁崩し:50|腕に装着するタイプのドリル武器。|
|4|パイルバンカー|1600|400|20|0|-4|0|器兵特攻:1&br;乾坤一擲:25|硬い鉱脈もドカンと一発。威力抜群の貫通兵器。|
|5|ゴールドクロー|3200|800|12|0|8|0|恐怖の瞳:10&br;撃破金運:5|眩い輝きで周囲を照らす黄金の爪。|
|5|幻獣の爪牙|3200|800|10|-5|15|0|側面攻撃:7&br;呪の一撃|幻とされている獣の爪牙を模した武器。|
|5|マカナＫ５００|3200|800|12|4|4|0|カブト割:15&br;特攻防御:25|ガロード用にカスタムされた鉤爪。火炎術式が組み込まれている。|
|5|ゴールドグローブ|3200|800|0|0|20|0|運命改変:10&br;トレハン:6|ゴールドに輝くパンチグローブ。ラッキーパンチが出やすい。|
|5|スチールガントレット|3200|800|4|16|0|0|ブロック:15&br;パリング:15|身を守るのに適した鋼鉄製の頑強な籠手。ただしとても重い。|
|6|ミスリルクロー|9600|2400|16|4|4|0|必殺増加:15&br;対術結界:15|魔法の金属で出来た美しい爪。|
