**鎧 [#xcb1ca26]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|いっちょうら|200|50|0|2|0|2|トレハン:1|立派ないっちょうら。皆のお気に入り。|
|1|腰蓑|200|50|2|0|2|0|攻撃布陣:2|威厳のある腰蓑。女の子にはちと辛い。|
|1|獣人の腰帯|200|50|2|1|1|0|奇襲警戒:3|ガロード族の男が良く使う腰帯。|
|1|木の鎧|200|50|0|3|1|0|反撃耐性:5|樹木をカットした板を材料として造られた木の鎧。|
|1|銅板の前掛け|200|50|0|4|0|0|グルメ魂:1|銅で作られた防御用前掛け。|
|2|油塗れの鎧|400|100|-2|4|6|0|イベイド:7|油でテカテカした滑りまくる鎧。火の用心。|
|2|チェインメイル|400|100|0|8|0|0|パリング:7|鋼線で編みこまれた鎧。|
|2|スケイルアーマー|400|100|4|4|0|0|竜鱗守護:10|金属片を編みこまれた鎧。|
|2|足軽の鎧|400|100|6|2|0|0|必殺増加:5|東方の下級兵が身に着ける粗末な和風鎧。|
|2|スプリントメイル|400|100|2|6|0|0|特攻防御:5|鉄片を重ね合わせて作られた簡素な金属鎧。|
|3|プレートアーマー|800|200|6|10|-4|0|堅守体躯:5&br;必殺耐性:10|着るのも脱ぐのも大変な全身鎧。|
|3|魔物メイル|800|200|0|8|4|0|防御布陣:5&br;自己治癒:5|魔物用にデザインされた鎧。|
|3|シルバーチェイン|800|200|4|8|0|0|パリング:10&br;対術障壁:30|銀の鎖を編みこまれた鎧。|
|3|肉襦袢|800|200|8|8|-4|0|受け流し:10&br;無形体躯:5|強靭な肉体を型取った鎧。|
|3|バイキングメイル|800|200|6|6|0|0|側面攻撃:5&br;撃破金運:3|海賊船の戦闘員が愛用する鎧。|
|4|ホーリーアーマー|1600|400|0|12|0|4|堅守体躯:10&br;解呪治療|魔を退ける銀の鎧。聖なる光を宿す。|
|4|大魔物メイル|1600|400|0|12|4|0|致命必殺:15&br;堅守体躯:10|大型魔物の為に造られた鎧。頑丈。|
|4|武芸者の胴丸|1600|400|10|6|0|0|カブト割:10&br;反撃耐性:15|武芸者が身につける和風鎧。|
|4|亀甲羅の鎧|1600|400|0|16|0|0|ブロック:10&br;竜鱗守護:30|人間サイズの巨大な甲羅鎧。容姿は良くないが高性能。|
|4|コボルド具足|1600|400|6|10|0|0|連携攻撃:10&br;城壁構築:25|コボルド族の下級足軽が着用する小柄な具足。|
|5|ゴールドアーマー|3200|800|0|20|-4|4|砲撃結界:20&br;トレハン:8|見るだけで目が眩む黄金鎧。|
|5|デモンズメイル|3200|800|8|16|0|-4|必殺増加:10&br;全力攻撃:15|悪魔の手によって生み出された鎧。|
|5|スパイクアーマー|3200|800|14|10|-4|0|致命必殺:30&br;反撃倍加:2|トゲトゲのついた、痛そうな鎧。|
|5|カラクリ忍者鎧|3200|800|0|8|12|0|乾坤一擲:25&br;側面攻撃:5|カラクリ技術が駆使された、スーパー忍者アーマー。|
|5|スチールアーマー|3200|800|2|18|0|0|必殺耐性:15&br;堅守体躯:10|鋼鉄製の頑強な鎧。頑丈だが、重い。|
|6|ミスリルアーマー|9600|2400|0|20|4|0|万能抗体:20&br;四法結界:10|魔法の金属を鍛えて造られた鎧。|
|6|南方騎士の鎧|9600|2400|0|16|8|0|対術結界:20&br;男性活性:6|魔術加護を施し、通気性を良くした鎧。決して露出の為ではない。|
